,CountyA,StateB,CountyB,BtoA,BtoA_ME AtoB,AtoB_ME,Net,Net_ME,Total,Total_ME,BtoA_ME,AtoB
133,Baldwin,Alabama,Autauga,194.0,148        8,10,186.0,146.0,202.0,151.0,148,8
466,Barbour,Alabama,Autauga,0.0,21        4,7,-4.0,7.0,4.0,7.0,21,4
545,Bibb Co,Alabama,Autauga,36.0,51        7,10,29.0,56.0,43.0,47.0,51,7
600,Blount,Alabama,Autauga,0.0,27        3,6,-3.0,6.0,3.0,6.0,27,3
727,Butler,Alabama,Autauga,0.0,21        6,12,-6.0,12.0,6.0,12.0,21,6
777,Calhoun,Alabama,Autauga,49.0,40        1,3,48.0,40.0,50.0,40.0,40,1
1057,Cheroke,Alabama,Autauga,31.0,44        0,27,31.0,44.0,31.0,44.0,44,0
1123,Chilton,Alabama,Autauga,42.0,51       96,113,-54.0,123.0,138.0,125.0,51,96
1245,Clarke,Alabama,Autauga,11.0,18       25,39,-14.0,42.0,36.0,44.0,18,25
1371,Coffee,Alabama,Autauga,118.0,113        0,27,118.0,113.0,118.0,113.0,113,0
1555,Colbert,Alabama,Autauga,75.0,88        0,27,75.0,88.0,75.0,88.0,88,0
1719,Covingt,Alabama,Autauga,0.0,24       85,107,-85.0,107.0,85.0,107.0,24,85
1943,Dale Co,Alabama,Autauga,111.0,153       83,94,28.0,176.0,194.0,183.0,153,83
2161,Dallas,Alabama,Autauga,43.0,35      204,254,-161.0,256.0,247.0,258.0,35,204
2256,DeKalb,Alabama,Autauga,14.0,23        0,27,14.0,23.0,14.0,23.0,23,0
2377,Elmore,Alabama,Autauga,247.0,529      661,284,586.0,650.0,1908.0,545.0,529,661
2601,Etowah,Alabama,Autauga,59.0,65        1,3,58.0,65.0,60.0,65.0,65,1
2889,Geneva,Alabama,Autauga,0.0,21       52,85,-52.0,85.0,52.0,85.0,21,52
3009,Henry C,Alabama,Autauga,0.0,18      198,268,-198.0,268.0,198.0,268.0,18,198
3053,Houston,Alabama,Autauga,7.0,7       17,27,-10.0,28.0,24.0,29.0,7,17
3437,Jeffers,Alabama,Autauga,361.0,174        7,13,354.0,173.0,368.0,175.0,174,7
4016,Lauderd,Alabama,Autauga,54.0,52        0,27,54.0,52.0,54.0,52.0,52,0
4221,Lee Cou,Alabama,Autauga,127.0,96      139,147,-12.0,189.0,266.0,160.0,96,139
4575,Limesto,Alabama,Autauga,44.0,53       18,40,26.0,67.0,62.0,66.0,53,18
4734,Macon C,Alabama,Autauga,0.0,18        5,13,-5.0,13.0,5.0,13.0,18,5
4815,Madison,Alabama,Autauga,48.0,39       24,29,24.0,44.0,72.0,53.0,39,24
5304,Marengo,Alabama,Autauga,9.0,13        0,27,9.0,13.0,9.0,13.0,13,0
5429,Marshal,Alabama,Autauga,23.0,33       33,53,-10.0,62.0,56.0,63.0,33,33
5612,Mobile,Alabama,Autauga,128.0,98        9,18,119.0,100.0,137.0,99.0,98,9
6065,Montgom,Alabama,Autauga,935.0,296      626,431,309.0,529.0,1561.0,517.0,296,626
6445,Morgan,Alabama,Autauga,16.0,25        6,14,10.0,28.0,22.0,28.0,25,6
6604,Perry C,Alabama,Autauga,4.0,8        0,27,4.0,8.0,4.0,8.0,8,0
6720,Pike Co,Alabama,Autauga,45.0,57       31,41,14.0,72.0,76.0,68.0,57,31
6873,Russell,Alabama,Autauga,74.0,96        0,27,74.0,96.0,74.0,96.0,96,0
7025,St. Cla,Alabama,Autauga,0.0,27       64,78,-64.0,78.0,64.0,78.0,27,64
7138,Shelby,Alabama,Autauga,139.0,121       35,58,104.0,119.0,174.0,148.0,121,35
7467,Tallade,Alabama,Autauga,37.0,47        0,27,37.0,47.0,37.0,47.0,47,0
7610,Tallapo,Alabama,Autauga,0.0,24        7,15,-7.0,15.0,7.0,15.0,24,7
7696,Tuscalo,Alabama,Autauga,43.0,35        0,27,43.0,35.0,43.0,35.0,35,0
8102,Walker,Alabama,Autauga,0.0,27        6,14,-6.0,14.0,6.0,14.0,27,6
8237,Wilcox,Alabama,Autauga,23.0,17      178,235,-155.0,236.0,201.0,235.0,17,178
8281,Winston,Alabama,Autauga,0.0,21        6,14,-6.0,14.0,6.0,14.0,21,6
11688,Cochise,Alabama,Autauga,34.0,32        0,27,34.0,32.0,34.0,32.0,32,0
28798,Kings C,Alabama,Autauga,0.0,29        7,14,-7.0,14.0,7.0,14.0,29,7
31777,Merced,Alabama,Autauga,9.0,14        0,27,9.0,14.0,9.0,14.0,14,0
40809,Santa C,Alabama,Autauga,0.0,29      143,217,-143.0,217.0,143.0,217.0,29,143
66656,New Lon,Alabama,Autauga,27.0,43        0,27,27.0,43.0,27.0,43.0,43,0
72644,Bay Cou,Alabama,Autauga,23.0,32        0,27,23.0,32.0,23.0,32.0,32,0
78340,Escambi,Alabama,Autauga,94.0,102        0,27,94.0,102.0,94.0,102.0,102,0
79561,Gilchri,Alabama,Autauga,33.0,52        0,27,33.0,52.0,33.0,52.0,52,0
85649,Marion,Alabama,Autauga,36.0,56        0,27,36.0,56.0,36.0,56.0,56,0
87816,Nassau,Alabama,Autauga,0.0,31       19,28,-19.0,28.0,19.0,28.0,31,19
88020,Okaloos,Alabama,Autauga,9.0,13        8,13,1.0,19.0,17.0,19.0,13,8
95439,Santa R,Alabama,Autauga,9.0,14       56,85,-47.0,87.0,65.0,85.0,14,56
95811,Sarasot,Alabama,Autauga,11.0,16        0,27,11.0,16.0,11.0,16.0,16,0
102089,Chattah,Alabama,Autauga,0.0,20       27,42,-27.0,42.0,27.0,42.0,20,27
104817,Coweta,Alabama,Autauga,0.0,30       55,83,-55.0,83.0,55.0,83.0,30,55
110847,Haralso,Alabama,Autauga,0.0,24        8,13,-8.0,13.0,8.0,13.0,24,8
111469,Houston,Alabama,Autauga,3.0,5        0,27,3.0,5.0,3.0,5.0,5,0
115051,Newton,Alabama,Autauga,0.0,30        3,6,-3.0,6.0,3.0,6.0,30,3
116250,Richmon,Alabama,Autauga,27.0,23        0,27,27.0,23.0,27.0,23.0,23,0
118809,Walton,Alabama,Autauga,41.0,60        0,27,41.0,60.0,41.0,60.0,60,0
121207,Maui Co,Alabama,Autauga,0.0,26       29,49,-29.0,49.0,29.0,49.0,26,29
124684,Madison,Alabama,Autauga,0.0,25       11,19,-11.0,19.0,11.0,19.0,25,11
127273,Cook Co,Alabama,Autauga,0.0,26        8,17,-8.0,17.0,8.0,17.0,26,8
133516,Lake Co,Alabama,Autauga,29.0,41        0,27,29.0,41.0,29.0,41.0,41,0
138501,St. Cla,Alabama,Autauga,39.0,46        0,27,39.0,46.0,39.0,46.0,46,0
147123,Lake Co,Alabama,Autauga,60.0,72        0,27,60.0,72.0,60.0,72.0,72,0
148109,Marion,Alabama,Autauga,0.0,27        8,12,-8.0,12.0,8.0,12.0,27,8
162323,Story C,Alabama,Autauga,0.0,22       51,82,-51.0,82.0,51.0,82.0,22,51
170941,Sedgwic,Alabama,Autauga,38.0,43        0,27,38.0,43.0,38.0,43.0,43,0
171609,Shawnee,Alabama,Autauga,9.0,32        0,27,9.0,32.0,9.0,32.0,32,0
181215,Meade C,Alabama,Autauga,18.0,27        0,27,18.0,27.0,18.0,27.0,27,0
185057,Bossier,Alabama,Autauga,9.0,14        0,27,9.0,14.0,9.0,14.0,14,0
185305,Caddo P,Alabama,Autauga,1.0,2        0,27,1.0,2.0,1.0,2.0,2,0
190388,St. Tam,Alabama,Autauga,47.0,72        0,27,47.0,72.0,47.0,72.0,72,0
203090,Anne Ar,Alabama,Autauga,49.0,66       22,35,27.0,61.0,71.0,86.0,66,22
205264,Charles,Alabama,Autauga,83.0,117        0,27,83.0,117.0,83.0,117.0,117,0
205559,Frederi,Alabama,Autauga,0.0,28      120,195,-120.0,195.0,120.0,195.0,28,120
223154,Middles,Alabama,Autauga,0.0,17      108,177,-108.0,177.0,108.0,177.0,17,108
231919,Suffolk,Alabama,Autauga,5.0,7        0,27,5.0,7.0,5.0,7.0,7,0
271020,Midland,Alabama,Autauga,7.0,12        0,27,7.0,12.0,7.0,12.0,12,0
271125,Midland,Alabama,Autauga,38.0,59        0,27,38.0,59.0,38.0,59.0,59,0
338497,Wadena,Alabama,Autauga,0.0,9        3,5,-3.0,5.0,3.0,5.0,9,3
343953,Greene,Alabama,Autauga,0.0,20        6,12,-6.0,12.0,6.0,12.0,20,6
344182,Harriso,Alabama,Autauga,2.0,6        0,27,2.0,6.0,2.0,6.0,6,0
345716,Lafayet,Alabama,Autauga,6.0,12        0,27,6.0,12.0,6.0,12.0,12,0
346402,Lee Cou,Alabama,Autauga,11.0,20        0,27,11.0,20.0,11.0,20.0,20,0
347505,Oktibbe,Alabama,Autauga,0.0,27       21,35,-21.0,35.0,21.0,35.0,27,21
349504,Webster,Alabama,Autauga,2.0,3        0,27,2.0,3.0,2.0,3.0,3,0
